id,name_x,artist,album,release_date,duration_ms_x,added_at,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,time_signature
2UOopL3Y405ruJyMzJcdWD,Khserna Baad,Maya Diab,Khserna Baad,2019-06-03,187561,2023-08-03 19:11:51+00:00,"['arab pop', 'lebanese pop']",0.689,0.605,7,-7.917,0,0.0776,0.127,0.0,0.0827,0.146,87.017,audio_features,spotify:track:2UOopL3Y405ruJyMzJcdWD,https://api.spotify.com/v1/tracks/2UOopL3Y405ruJyMzJcdWD,https://api.spotify.com/v1/audio-analysis/2UOopL3Y405ruJyMzJcdWD,4
0WVTQp3SOCuMr08jh1jweV,Bring It On Home to Me,Sam Cooke,The Man Who Invented Soul,2000-09-26,162533,2023-08-01 16:48:21+00:00,"['classic soul', 'soul', 'vocal jazz']",0.523,0.402,0,-8.233,1,0.0305,0.778,0.0,0.432,0.675,70.863,audio_features,spotify:track:0WVTQp3SOCuMr08jh1jweV,https://api.spotify.com/v1/tracks/0WVTQp3SOCuMr08jh1jweV,https://api.spotify.com/v1/audio-analysis/0WVTQp3SOCuMr08jh1jweV,4
1XPj5quoeV5Gd0paSUDpvm,You Send Me - Mono,Sam Cooke,Sam Cooke,1958-02-01,165733,2023-07-23 14:55:49+00:00,"['classic soul', 'soul', 'vocal jazz']",0.572,0.365,4,-7.583,0,0.0276,0.88,0.0,0.125,0.41,96.022,audio_features,spotify:track:1XPj5quoeV5Gd0paSUDpvm,https://api.spotify.com/v1/tracks/1XPj5quoeV5Gd0paSUDpvm,https://api.spotify.com/v1/audio-analysis/1XPj5quoeV5Gd0paSUDpvm,4
2G0GextMwZJLkNxcSZ7ZJ3,(What A) Wonderful World - Mono,Sam Cooke,The Wonderful World Of Sam Cooke,1960-02-01,128786,2023-07-20 01:18:55+00:00,"['classic soul', 'soul', 'vocal jazz']",0.686,0.672,11,-5.523,1,0.0323,0.7,0.0,0.135,0.857,128.55,audio_features,spotify:track:2G0GextMwZJLkNxcSZ7ZJ3,https://api.spotify.com/v1/tracks/2G0GextMwZJLkNxcSZ7ZJ3,https://api.spotify.com/v1/audio-analysis/2G0GextMwZJLkNxcSZ7ZJ3,4
1HkOPLwAJH3kE8UnqgxF4s,Skinny Love,Bon Iver,"For Emma, Forever Ago",2008-05-12,238532,2023-07-20 00:55:48+00:00,"['chamber pop', 'eau claire indie', 'indie folk', 'melancholia', 'modern rock']",0.592,0.256,4,-14.031,0,0.0449,0.842,2.38e-06,0.088,0.103,76.358,audio_features,spotify:track:1HkOPLwAJH3kE8UnqgxF4s,https://api.spotify.com/v1/tracks/1HkOPLwAJH3kE8UnqgxF4s,https://api.spotify.com/v1/audio-analysis/1HkOPLwAJH3kE8UnqgxF4s,4
432hUIl3ISDeytYW5XBQ5h,Wolves,Kanye West,The Life Of Pablo,2016-06-10,301586,2023-07-16 12:12:03+00:00,"['chicago rap', 'hip hop', 'rap']",0.395,0.392,1,-8.034,1,0.0925,0.219,0.00173,0.134,0.103,155.856,audio_features,spotify:track:432hUIl3ISDeytYW5XBQ5h,https://api.spotify.com/v1/tracks/432hUIl3ISDeytYW5XBQ5h,https://api.spotify.com/v1/audio-analysis/432hUIl3ISDeytYW5XBQ5h,4
1w327AHTCoChRIkJUprAnV,Mirage,Orion Sun,A Collection of Fleeting Moments and Daydreams,2020-01-06,57495,2023-06-23 23:50:17+00:00,"['alternative r&b', 'bedroom pop']",0.683,0.468,9,-10.058,0,0.0743,0.87,0.673,0.108,0.47,117.095,audio_features,spotify:track:1w327AHTCoChRIkJUprAnV,https://api.spotify.com/v1/tracks/1w327AHTCoChRIkJUprAnV,https://api.spotify.com/v1/audio-analysis/1w327AHTCoChRIkJUprAnV,4
5DBmXF7QO43Cuy9yqva116,Family Business,Kanye West,The College Dropout,2004-02-10,278893,2023-06-16 01:15:36+00:00,"['chicago rap', 'hip hop', 'rap']",0.744,0.524,1,-7.452,1,0.21,0.139,0.0,0.392,0.606,93.691,audio_features,spotify:track:5DBmXF7QO43Cuy9yqva116,https://api.spotify.com/v1/tracks/5DBmXF7QO43Cuy9yqva116,https://api.spotify.com/v1/audio-analysis/5DBmXF7QO43Cuy9yqva116,4
4vHNeBWDQpVCmGbaccrRzi,Goodie Bag,Still Woozy,Goodie Bag,2017-11-05,146390,2023-06-09 18:11:19+00:00,"['bedroom pop', 'oakland indie', 'pov: indie']",0.739,0.522,7,-12.304,0,0.151,0.821,0.00124,0.233,0.619,138.263,audio_features,spotify:track:4vHNeBWDQpVCmGbaccrRzi,https://api.spotify.com/v1/tracks/4vHNeBWDQpVCmGbaccrRzi,https://api.spotify.com/v1/audio-analysis/4vHNeBWDQpVCmGbaccrRzi,4
4vju55Ag7apDL2CfotuE7Q,Sunny,Bobby Hebb,Sunny,1966-01-01,165066,2023-05-25 01:24:16+00:00,['northern soul'],0.714,0.338,4,-10.994,0,0.0456,0.93,0.00644,0.389,0.667,128.385,audio_features,spotify:track:4vju55Ag7apDL2CfotuE7Q,https://api.spotify.com/v1/tracks/4vju55Ag7apDL2CfotuE7Q,https://api.spotify.com/v1/audio-analysis/4vju55Ag7apDL2CfotuE7Q,4
2TVxnKdb3tqe1nhQWwwZCO,Tiny Dancer,Elton John,Madman Across The Water,1971-11-05,377093,2023-05-25 01:15:10+00:00,"['glam rock', 'mellow gold', 'piano rock', 'rock']",0.414,0.428,0,-11.097,1,0.0278,0.382,0.000243,0.148,0.282,145.075,audio_features,spotify:track:2TVxnKdb3tqe1nhQWwwZCO,https://api.spotify.com/v1/tracks/2TVxnKdb3tqe1nhQWwwZCO,https://api.spotify.com/v1/audio-analysis/2TVxnKdb3tqe1nhQWwwZCO,4
694vvR5o19xHPhhJ5QdLN7,NO HALO,BROCKHAMPTON,GINGER,2019-08-23,259746,2023-05-25 00:43:38+00:00,"['boy band', 'rap']",0.643,0.573,4,-7.034,1,0.0709,0.41,0.00017,0.0695,0.47,165.192,audio_features,spotify:track:694vvR5o19xHPhhJ5QdLN7,https://api.spotify.com/v1/tracks/694vvR5o19xHPhhJ5QdLN7,https://api.spotify.com/v1/audio-analysis/694vvR5o19xHPhhJ5QdLN7,4
4ZMJshw6UOvaTWWThYtEoW,Heartless,Kanye West,808s & Heartbreak,2008-11-24,211000,2023-05-24 13:33:00+00:00,"['chicago rap', 'hip hop', 'rap']",0.79,0.647,10,-5.983,0,0.136,0.0515,0.0,0.248,0.654,87.999,audio_features,spotify:track:4ZMJshw6UOvaTWWThYtEoW,https://api.spotify.com/v1/tracks/4ZMJshw6UOvaTWWThYtEoW,https://api.spotify.com/v1/audio-analysis/4ZMJshw6UOvaTWWThYtEoW,4
6hw6KFBx1S25vZiowvLBbA,Sorrow For Tomorrow,Thee Sacred Souls,Thee Sacred Souls,2022-08-26,169813,2023-05-15 18:08:31+00:00,"['latinx alternative', 'souldies']",0.657,0.62,11,-6.173,0,0.0247,0.561,5.27e-06,0.115,0.843,85.677,audio_features,spotify:track:6hw6KFBx1S25vZiowvLBbA,https://api.spotify.com/v1/tracks/6hw6KFBx1S25vZiowvLBbA,https://api.spotify.com/v1/audio-analysis/6hw6KFBx1S25vZiowvLBbA,4
1k1Bqnv2R0uJXQN4u6LKYt,Ain't No Sunshine,Bill Withers,Just As I Am,1971-05-01,125093,2023-05-14 10:55:49+00:00,"['funk', 'quiet storm', 'soul']",0.527,0.415,4,-11.451,0,0.122,0.457,1.72e-05,0.117,0.515,78.169,audio_features,spotify:track:1k1Bqnv2R0uJXQN4u6LKYt,https://api.spotify.com/v1/tracks/1k1Bqnv2R0uJXQN4u6LKYt,https://api.spotify.com/v1/audio-analysis/1k1Bqnv2R0uJXQN4u6LKYt,4
1LNqr2FALBNFX1smNJcKD2,Moonlight Sonata (1st Movement),Ludwig van Beethoven,Betoven - Best Piano Pieces,2020-03-06,314305,2023-04-27 17:51:00+00:00,"['classical', 'classical era', 'early romantic era', 'german romanticism']",0.262,0.0167,1,-29.46,0,0.0533,0.994,0.908,0.143,0.114,79.842,audio_features,spotify:track:1LNqr2FALBNFX1smNJcKD2,https://api.spotify.com/v1/tracks/1LNqr2FALBNFX1smNJcKD2,https://api.spotify.com/v1/audio-analysis/1LNqr2FALBNFX1smNJcKD2,3
3UyfbleQaK7IJJQ1KGypve,Brown Steel,Choker,Peak,2017-05-06,189713,2023-04-22 00:57:36+00:00,['alternative r&b'],0.567,0.46,0,-6.249,1,0.0307,0.352,0.00478,0.565,0.332,127.295,audio_features,spotify:track:3UyfbleQaK7IJJQ1KGypve,https://api.spotify.com/v1/tracks/3UyfbleQaK7IJJQ1KGypve,https://api.spotify.com/v1/audio-analysis/3UyfbleQaK7IJJQ1KGypve,4
3pRaLNL3b8x5uBOcsgvdqM,Hallelujah,Jeff Buckley,Grace,1994-01-01,413826,2023-04-17 00:44:11+00:00,"['melancholia', 'permanent wave', 'singer-songwriter']",0.324,0.136,0,-10.33,1,0.0318,0.931,0.00117,0.176,0.0831,97.256,audio_features,spotify:track:3pRaLNL3b8x5uBOcsgvdqM,https://api.spotify.com/v1/tracks/3pRaLNL3b8x5uBOcsgvdqM,https://api.spotify.com/v1/audio-analysis/3pRaLNL3b8x5uBOcsgvdqM,3
6Jv7kjGkhY2fT4yuBF3aTz,"Lover, You Should've Come Over",Jeff Buckley,Grace,1994-01-01,404213,2023-03-28 23:11:46+00:00,"['melancholia', 'permanent wave', 'singer-songwriter']",0.387,0.595,2,-5.67,1,0.0389,0.361,1.1e-05,0.174,0.151,119.38,audio_features,spotify:track:6Jv7kjGkhY2fT4yuBF3aTz,https://api.spotify.com/v1/tracks/6Jv7kjGkhY2fT4yuBF3aTz,https://api.spotify.com/v1/audio-analysis/6Jv7kjGkhY2fT4yuBF3aTz,3
5j3so8OA4ddWtvObRxy0zm,Something I Need,Koteri,Something I Need,2023-03-21,216236,2023-03-21 16:11:21+00:00,[],0.585,0.563,9,-7.198,0,0.0414,0.706,0.00342,0.132,0.626,80.003,audio_features,spotify:track:5j3so8OA4ddWtvObRxy0zm,https://api.spotify.com/v1/tracks/5j3so8OA4ddWtvObRxy0zm,https://api.spotify.com/v1/audio-analysis/5j3so8OA4ddWtvObRxy0zm,4
7dIPEjXoxkhmNR9S7EQVJ0,Easier Said Than Done,Thee Sacred Souls,Thee Sacred Souls,2022-08-26,174706,2023-03-20 11:45:08+00:00,"['latinx alternative', 'souldies']",0.547,0.399,10,-9.808,1,0.0246,0.668,2.81e-06,0.132,0.563,84.127,audio_features,spotify:track:7dIPEjXoxkhmNR9S7EQVJ0,https://api.spotify.com/v1/tracks/7dIPEjXoxkhmNR9S7EQVJ0,https://api.spotify.com/v1/audio-analysis/7dIPEjXoxkhmNR9S7EQVJ0,4
113iEwaI5Se6Q287iXOIJy,Love Is A Losing Game - Original Demo,Amy Winehouse,Back To Black (Deluxe Edition),2006-01-01,223893,2023-03-19 19:09:50+00:00,"['british soul', 'neo soul']",0.592,0.0393,0,-10.944,1,0.0455,0.966,6.77e-05,0.157,0.208,113.296,audio_features,spotify:track:113iEwaI5Se6Q287iXOIJy,https://api.spotify.com/v1/tracks/113iEwaI5Se6Q287iXOIJy,https://api.spotify.com/v1/audio-analysis/113iEwaI5Se6Q287iXOIJy,4
3FAclTFfvUuQYnEsptbK8w,Back To Black,Amy Winehouse,Back To Black (Deluxe Edition),2006-01-01,241293,2023-03-12 02:18:56+00:00,"['british soul', 'neo soul']",0.403,0.422,7,-13.964,0,0.0373,0.134,2.05e-05,0.0861,0.378,122.728,audio_features,spotify:track:3FAclTFfvUuQYnEsptbK8w,https://api.spotify.com/v1/tracks/3FAclTFfvUuQYnEsptbK8w,https://api.spotify.com/v1/audio-analysis/3FAclTFfvUuQYnEsptbK8w,4
6VnpKLtfNH4Dk09YSGPSyR,It Ain't Over 'Til It's Over,Lenny Kravitz,Mama Said,1991-04-02,242640,2023-03-12 02:15:35+00:00,"['permanent wave', 'rock']",0.679,0.568,6,-10.74,1,0.0423,0.422,0.00928,0.322,0.93,159.69,audio_features,spotify:track:6VnpKLtfNH4Dk09YSGPSyR,https://api.spotify.com/v1/tracks/6VnpKLtfNH4Dk09YSGPSyR,https://api.spotify.com/v1/audio-analysis/6VnpKLtfNH4Dk09YSGPSyR,4
3uliGwmB52ZA7brgpZMzyH,Love Is A Losing Game,Amy Winehouse,Back To Black (Deluxe Edition),2006-01-01,155413,2023-03-12 02:13:32+00:00,"['british soul', 'neo soul']",0.484,0.293,0,-16.544,1,0.0311,0.337,0.00627,0.146,0.562,165.008,audio_features,spotify:track:3uliGwmB52ZA7brgpZMzyH,https://api.spotify.com/v1/tracks/3uliGwmB52ZA7brgpZMzyH,https://api.spotify.com/v1/audio-analysis/3uliGwmB52ZA7brgpZMzyH,4
7wnj1zRcZVlPNJ58shwl7h,Can I Call You Rose?,Thee Sacred Souls,Thee Sacred Souls,2022-08-26,190546,2023-03-12 01:41:02+00:00,"['latinx alternative', 'souldies']",0.302,0.4,0,-8.212,0,0.0364,0.719,0.000621,0.172,0.421,180.852,audio_features,spotify:track:7wnj1zRcZVlPNJ58shwl7h,https://api.spotify.com/v1/tracks/7wnj1zRcZVlPNJ58shwl7h,https://api.spotify.com/v1/audio-analysis/7wnj1zRcZVlPNJ58shwl7h,3
7pKfPomDEeI4TPT6EOYjn9,Imagine - Remastered 2010,John Lennon,Imagine,1971-09-09,187866,2023-03-11 12:12:40+00:00,"['beatlesque', 'classic rock', 'rock']",0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752,audio_features,spotify:track:7pKfPomDEeI4TPT6EOYjn9,https://api.spotify.com/v1/tracks/7pKfPomDEeI4TPT6EOYjn9,https://api.spotify.com/v1/audio-analysis/7pKfPomDEeI4TPT6EOYjn9,4
