id,name,genres,popularity_x,time_range,followers
04N4sGkSTSxjVfbiItLvTj,Ziad Bourji,"arab pop, lebanese pop",43,short_term,"{'href': None, 'total': 274200}"
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,"chicago rap, hip hop, rap",88,short_term,"{'href': None, 'total': 20790700}"
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,"lgbtq+ hip hop, neo soul",81,short_term,"{'href': None, 'total': 11541738}"
09A6IffSw0t8L8sfuOCVws,Wael Kfoury,"arab pop, belly dance, lebanese pop",52,short_term,"{'href': None, 'total': 1518868}"
5DPb3SKW8QZFwkRlmt7Gvo,Joseph Attieh,"arab pop, dabke, lebanese pop",40,short_term,"{'href': None, 'total': 301593}"
3AA28KZvwAUcZuOKwyblJQ,Gorillaz,"alternative hip hop, modern rock, rock",77,short_term,"{'href': None, 'total': 10725672}"
4LLpKhyESsyAXpc4laK94U,Mac Miller,"hip hop, pittsburgh rap, pop rap, rap",81,short_term,"{'href': None, 'total': 9319926}"
6hnWRPzGGKiapVX1UCdEAC,Sam Cooke,"classic soul, soul, vocal jazz",66,short_term,"{'href': None, 'total': 1516294}"
4b5UHpUmrPycvsgu2M3ujz,Maya Diab,"arab pop, lebanese pop",41,short_term,"{'href': None, 'total': 161555}"
1Bl6wpkWCQ4KVgnASpvzzA,BROCKHAMPTON,"boy band, rap",64,short_term,"{'href': None, 'total': 2127842}"
3pCdpK2DVRSs77L9RtxFy0,Melhem Zein,"arab pop, dabke, lebanese pop",40,short_term,"{'href': None, 'total': 461647}"
2VXNaPH6tQXdoLbU3PrRVz,Adam,lebanese pop,36,short_term,"{'href': None, 'total': 68918}"
46FJPTBdnCK0GMd76nil6e,Yara,"arab pop, lebanese pop",38,short_term,"{'href': None, 'total': 310871}"
6uOgBVYHvqTGAQ5iVHDVT7,Ragheb Alama,"classic arab pop, lebanese pop",50,short_term,"{'href': None, 'total': 1423454}"
2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,"alternative rock, art punk, dance rock, funk rock, new wave, permanent wave, post-punk, rock, zolo",67,short_term,"{'href': None, 'total': 2200341}"
1LljnS3oumQ36wdBhkPKrs,Fadel Chaker,"arab pop, lebanese pop",47,short_term,"{'href': None, 'total': 1650481}"
2ieBl5s08uHBwM8sUPvg65,Nassif Zeytoun,"arab pop, dabke, syrian pop",49,short_term,"{'href': None, 'total': 887549}"
4BToNiwcCGe2xoQSuYQBXI,فضل شاكر,,35,short_term,"{'href': None, 'total': 1890}"
4OxfghTTEa7wIa1GcXtWVD,Top Songs Of 2023,,20,short_term,"{'href': None, 'total': 1265}"
0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock",77,short_term,"{'href': None, 'total': 19404604}"
6e6VucoDJD6bmJPlnO7AkN,Marwan Khoury,"arab pop, lebanese pop",40,short_term,"{'href': None, 'total': 887039}"
4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,"chamber pop, eau claire indie, indie folk, melancholia, modern rock",73,short_term,"{'href': None, 'total': 3455260}"
0oK5D6uPhGu4Jk2dbZfodU,Thee Sacred Souls,"latinx alternative, souldies",58,short_term,"{'href': None, 'total': 245367}"
5a2EaR3hamoenG9rDuVn8j,Prince,"funk, funk rock, minneapolis sound, rock, synth funk",69,short_term,"{'href': None, 'total': 6939936}"
4lQhb7Hptj08WWqSf2za9O,Joe Ashkar,"arab pop, lebanese pop",28,short_term,"{'href': None, 'total': 84376}"
1QxkWzg3QsYJv6xMXSuVMs,Hussein Al Deek,"arab pop, dabke, syrian pop",40,short_term,"{'href': None, 'total': 153313}"
6m7sil7DZpW1PDsVfkAOMP,Maritta Hallani,"arab pop, lebanese pop",29,short_term,"{'href': None, 'total': 91381}"
3KNh2bgk3J2OGvzt0LJbrM,Rabih Baroud,"arab pop, lebanese pop",28,short_term,"{'href': None, 'total': 79255}"
5HczG7gdd89oDKY0CUyPof,Wael Jassar,"arab pop, lebanese pop",52,short_term,"{'href': None, 'total': 2038153}"
0CSSBwiYmYF569NxdQedQ3,Carole Samaha,"arab pop, lebanese pop",45,short_term,"{'href': None, 'total': 1068292}"
0IjIdnhlsKfAfOl5ph5TsE,Mohammad Assaf,"arab pop, dabke, palestinian alternative, palestinian pop, palestinian traditional",36,short_term,"{'href': None, 'total': 168875}"
39AgPTHxIEp2QUozYYsnV1,Ramy Ayach,"arab pop, lebanese pop",41,short_term,"{'href': None, 'total': 563731}"
5FXMkwsloHI5c05GIkWpuK,Kadim Al Sahir,"arab pop, khaleeji iraqi",41,short_term,"{'href': None, 'total': 900780}"
5abSRg0xN1NV3gLbuvX24M,Amr Diab,"arab pop, belly dance, egyptian pop, persian pop, rif",61,short_term,"{'href': None, 'total': 6035256}"
6Q192DXotxtaysaqNPy5yR,Amy Winehouse,"british soul, neo soul",73,short_term,"{'href': None, 'total': 8514281}"
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,100,short_term,"{'href': None, 'total': 81956718}"
0bzfPKdbXL5ezYW2z3UGQj,Michael Kiwanuka,"british soul, neo soul, psychedelic soul, soul",62,short_term,"{'href': None, 'total': 1323874}"
3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap",94,short_term,"{'href': None, 'total': 78074915}"
4iMO20EPodreIaEl8qW66y,Still Woozy,"bedroom pop, oakland indie, pov: indie",66,short_term,"{'href': None, 'total': 927473}"
2UwqpfQtNuhBwviIC0f2ie,Damso,"belgian hip hop, french hip hop, pop urbaine, r&b francais, rap belge, rap conscient",73,short_term,"{'href': None, 'total': 4713892}"
4M5nCE77Qaxayuhp3fVn4V,Iron & Wine,"acoustic pop, chamber pop, indie folk, indie rock, stomp and holler",60,short_term,"{'href': None, 'total': 1065955}"
79hrYiudVcFyyxyJW0ipTy,The Paper Kites,"acoustic pop, australian indie folk, indie folk, stomp and holler",66,short_term,"{'href': None, 'total': 686259}"
3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter",74,short_term,"{'href': None, 'total': 5764510}"
3DCWeG2J1fZeu0Oe6i5Q6m,PLK,"french hip hop, pop urbaine, rap conscient, rap francais",71,short_term,"{'href': None, 'total': 1502284}"
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,"barbadian pop, pop, urban contemporary",87,short_term,"{'href': None, 'total': 56961493}"
04gDigrS5kc9YWfZHwBETP,Maroon 5,pop,83,short_term,"{'href': None, 'total': 41154685}"
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,"chicago rap, hip hop, rap",88,medium_term,"{'href': None, 'total': 20790700}"
04N4sGkSTSxjVfbiItLvTj,Ziad Bourji,"arab pop, lebanese pop",43,medium_term,"{'href': None, 'total': 274200}"
0oK5D6uPhGu4Jk2dbZfodU,Thee Sacred Souls,"latinx alternative, souldies",58,medium_term,"{'href': None, 'total': 245367}"
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,"lgbtq+ hip hop, neo soul",81,medium_term,"{'href': None, 'total': 11541738}"
3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap",94,medium_term,"{'href': None, 'total': 78074915}"
1Bl6wpkWCQ4KVgnASpvzzA,BROCKHAMPTON,"boy band, rap",64,medium_term,"{'href': None, 'total': 2127842}"
09A6IffSw0t8L8sfuOCVws,Wael Kfoury,"arab pop, belly dance, lebanese pop",52,medium_term,"{'href': None, 'total': 1518868}"
5DPb3SKW8QZFwkRlmt7Gvo,Joseph Attieh,"arab pop, dabke, lebanese pop",40,medium_term,"{'href': None, 'total': 301593}"
6Q192DXotxtaysaqNPy5yR,Amy Winehouse,"british soul, neo soul",73,medium_term,"{'href': None, 'total': 8514281}"
4LLpKhyESsyAXpc4laK94U,Mac Miller,"hip hop, pittsburgh rap, pop rap, rap",81,medium_term,"{'href': None, 'total': 9319926}"
4b5UHpUmrPycvsgu2M3ujz,Maya Diab,"arab pop, lebanese pop",41,medium_term,"{'href': None, 'total': 161555}"
0CSSBwiYmYF569NxdQedQ3,Carole Samaha,"arab pop, lebanese pop",45,medium_term,"{'href': None, 'total': 1068292}"
3pCdpK2DVRSs77L9RtxFy0,Melhem Zein,"arab pop, dabke, lebanese pop",40,medium_term,"{'href': None, 'total': 461647}"
46FJPTBdnCK0GMd76nil6e,Yara,"arab pop, lebanese pop",38,medium_term,"{'href': None, 'total': 310871}"
1LljnS3oumQ36wdBhkPKrs,Fadel Chaker,"arab pop, lebanese pop",47,medium_term,"{'href': None, 'total': 1650481}"
68rvMwPL0yMbYR5cv0pzCR,Elissa,"arab pop, lebanese pop",54,medium_term,"{'href': None, 'total': 3413706}"
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,"permanent wave, pop",87,medium_term,"{'href': None, 'total': 46236093}"
6uOgBVYHvqTGAQ5iVHDVT7,Ragheb Alama,"classic arab pop, lebanese pop",50,medium_term,"{'href': None, 'total': 1423454}"
39AgPTHxIEp2QUozYYsnV1,Ramy Ayach,"arab pop, lebanese pop",41,medium_term,"{'href': None, 'total': 563731}"
